,topic_idx,topic_score,manual_check,topic_words,transcript_words
4015,0,0.104,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['consultation', 'flambée', 'test', 'novembre', 'école', 'résultat', 'conseiller', 'moment', 'fin', 'suite']"
4019,2,0.166,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['peine', 'juge', 'liberté', 'divergence', 'agresse', 'gravité', 'code', 'révision', 'appréciation', 'fonctionnaire']"
4040,14,0.449,1,transport - trafic - véhicule - vélo - vol - mobilité - infrastructure - marchandise - aviation - camion,"['financement', 'cheminement', 'démarrage', 'start', 'fourchette', 'flexibilité', 'vision', 'étape', 'capacité', 'début']"
4048,5,0.447,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['volaille', 'engraissement', 'grillage', 'soleil', 'jardin', 'oiseau', 'infection', 'extérieur', 'hiver', 'espace']"
4074,5,0.588,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['animal', 'vétérinaire', 'label', 'élevage', 'effectif', 'campagne', 'passion', 'éleveur', 'temps', 'famille']"
4138,14,0.027,1,transport - trafic - véhicule - vélo - vol - mobilité - infrastructure - marchandise - aviation - camion,"['transport', 'voyageur', 'crédit', 'engagement', 'liaison', 'compagnie', 'indemnisation', 'message', 'croissance', 'influence']"
4323,7,0.211,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['gaz', 'glacier', 'dérèglement', 'climat', 'humanité', 'énergie', 'avenir', 'dépendance', 'serre', 'société']"
4397,1,0.079,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['entité', 'accès', 'système', 'document', 'modification', 'systématique', 'ordonnance', 'organisation', 'fraude', 'acquis']"
4466,1,1,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['dialogue', 'poursuite', 'intégration', 'facilitation', 'négociation', 'relation', 'harmonisation', 'affaire', 'fourre', 'exécutive']"
4496,4,0.34,0,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['guideline', 'recherche', 'infarctus', 'genre', 'symptôme', 'femme', 'égalité', 'médication', 'demande', 'présentation']"
4618,9,0.008,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['licenciement', 'électeur', 'salaire', 'dumping', 'suite', 'note', 'substitution', 'constitution', 'oeuvre', 'angle']"
4628,0,0.261,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['cancer', 'stratégie', 'lutte', 'organisation', 'rôle', 'place', 'nombre', 'qualité', 'défi', 'structure']"
4785,4,0.428,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['accueil', 'enfant', 'parent', 'offre', 'adéquation', 'garde', 'caractère', 'dispositif', 'soutien', 'frais']"
4830,10,0.323,1,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['sanction', 'parallèle', 'neutralité', 'corruption', 'entité', 'intervalle', 'définitive', 'régime', 'atteinte', 'homme']"
4888,0,0.492,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['vaccin', 'acquisition', 'dose', 'persuadé', 'moitié', 'lieu', 'crédit', 'stratégie', 'cause', 'constatation']"
4889,0,0.379,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['vaccin', 'acquisition', 'crédit', 'divergence', 'engagement', 'matériel', 'réserve', 'contrat', 'correction', 'administration']"
4902,10,0.057,1,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['serion', 'sanction', 'sanctionne', 'trust', 'concertation', 'connaissance', 'ordre', 'conseiller', 'jour', 'élément']"
